Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
173430,204706759,G,83.0071,29.001,27.1097,-72.8984,39.6988,-1.3679,0.7517,1,G,34.9511,-23.5127,-25.4588,-4.5361,34.6554,-0.1305,-2.3165,-1,88.7986
173430,204509353,G,47.1359,8.6014,-41.1064,-21.4025,41.9966,-0.4898,-1.3645,1,G,43.6317,-7.5012,40.6632,13.9265,41.3493,0.3307,1.7532,-1,90.4515
173430,204581717,G,134.338,-36.8522,0.0752,-129.184,36.8522,-1.9672,3.1395,1,G,94.7968,49.8179,0.604,-80.6489,49.8216,-1.2589,0.0121,-1,91.1274
173430,205076130,G,91.8625,-15.5719,-18.2869,-88.6668,24.0186,-2.0171,-2.2762,1,G,28.0808,14.9455,20.2577,12.4409,25.1743,0.476,0.9352,-1,92.5836
173430,205189926,G,39.8491,-18.0256,-28.9549,-20.6067,34.1073,-0.5724,-2.1276,1,G,42.7046,18.6392,34.5802,16.747,39.2837,0.4143,1.0764,-1,82.2691
173430,207002803,G,62.2491,-8.9507,-54.3834,-28.9357,55.1151,-0.5035,-1.7339,-1,G,33.9213,-9.3348,29.7664,13.3217,31.1958,0.415,1.8747,1,89.8032
173430,206168113,G,74.8489,40.6051,-23.9435,-58.1402,47.1388,-1.0372,-0.5328,1,G,34.9396,-26.6164,22.0616,-5.0613,34.5709,-0.1459,2.4495,-1,88.6559
173430,206306815,G,124.76,-39.0091,6.5827,118.322,39.5606,1.8156,2.9744,1,G,121.465,43.5682,-8.2046,113.085,44.334,1.6659,-0.1861,-1,83.9898
173430,206109522,G,60.2307,-26.1459,26.5692,47.3096,37.2764,1.0595,2.3482,1,G,37.8253,19.6613,-26.7159,-18.178,33.1709,-0.5237,-0.9364,-1,93.4038
173430,206734018,G,155.643,42.8246,2.0673,-149.621,42.8745,-1.9629,0.0482,1,G,184.259,-43.1648,-4.9313,-179.063,43.4456,-2.1238,-3.0278,-1,86.5518
173430,206411531,G,193.749,-3.2416,-38.1466,-189.929,38.2841,-2.3048,-1.6556,-1,G,90.6817,4.2755,41.8154,-80.3515,42.0334,-1.4034,1.4689,1,88.5146
